hypothesis,family,development_trades,development_expectancy_r,development_profit_factor,validation_trades,validation_expectancy_r,validation_profit_factor,combined_trades,positive_pairs,passes_gate
S2R2-01,prior_day_value,4021,-0.22300142974497328,0.6752503236276938,2318,-0.21075349976487331,0.6908431936511473,6339,0,False
S2R2-02,late_london_exhaustion,2160,-0.12945301389422031,0.7655023531438899,1501,-0.06942066690264172,0.8752877365702629,3661,0,False
S2R2-03,ny_opening_drive,454,-0.10092888442201034,0.8155852015792295,282,-0.07708973494295923,0.8524628970012813,736,4,False
S2R2-04,post_overlap_drift,6053,-0.1318355370889148,0.7798176144246157,3791,-0.11524020941815359,0.8074627737087692,9844,0,False
S2R2-05,two_hour_fade,1931,-0.18669465533381838,0.7215989750665536,1328,-0.10303224082382204,0.8389908370748219,3259,0,False
S2R2-06,daily_expansion,15398,-0.7375859052322392,0.17504398117363265,2739,-0.11082901545158062,0.8271859133718015,18137,0,False
S2R2-07,usd_basket,1705,-0.0798799285313028,0.8655395376237374,861,-0.08088474833074509,0.863290883933985,2566,1,False
S2R2-08,jpy_basket,1364,-0.1989764227065264,0.6966792063665969,831,-0.16966787235343042,0.7368322676242265,2195,0,False
S2R2-09,correlation_dislocation,659,-0.16968309022492006,0.7380478191552988,162,-0.08144267251791434,0.8635916261504697,821,0,False
S2R2-10,overnight_unwind,3027,-0.13275060648389403,0.7959752203809267,2252,-0.1734648746614239,0.7404620044012789,5279,1,False
S2R2-11,realised_trend_pullback,277,-0.07984786137027294,0.8685605302502561,172,-0.01579571714655271,0.9734773716387364,449,6,False
S2R2-12,friday_fade,5044,-0.07814290647568162,0.8383260410348131,3152,-0.10546591866527734,0.7977435935738869,8196,1,False
