event,pair,event_count
asia_extreme_down,AUDJPY,191301
asia_extreme_down,AUDUSD,185793
asia_extreme_down,CADJPY,173007
asia_extreme_down,CHFJPY,173698
asia_extreme_down,EURAUD,204965
asia_extreme_down,EURGBP,125823
asia_extreme_down,EURJPY,179587
asia_extreme_down,EURUSD,142640
asia_extreme_down,GBPAUD,203263
asia_extreme_down,GBPJPY,172926
asia_extreme_down,GBPUSD,138483
asia_extreme_down,NZDUSD,173759
asia_extreme_down,USDCAD,159780
asia_extreme_down,USDCHF,148443
asia_extreme_down,USDJPY,200783
asia_extreme_up,AUDJPY,218433
asia_extreme_up,AUDUSD,223905
asia_extreme_up,CADJPY,177038
asia_extreme_up,CHFJPY,169388
asia_extreme_up,EURAUD,183105
asia_extreme_up,EURGBP,146164
asia_extreme_up,EURJPY,183498
asia_extreme_up,EURUSD,170667
asia_extreme_up,GBPAUD,169417
asia_extreme_up,GBPJPY,180696
asia_extreme_up,GBPUSD,155534
asia_extreme_up,NZDUSD,206664
asia_extreme_up,USDCAD,142599
asia_extreme_up,USDCHF,146692
asia_extreme_up,USDJPY,196077
asia_range_break_down,AUDJPY,144402
asia_range_break_down,AUDUSD,165335
asia_range_break_down,CADJPY,178010
asia_range_break_down,CHFJPY,184039
asia_range_break_down,EURAUD,183513
asia_range_break_down,EURGBP,223565
asia_range_break_down,EURJPY,178733
asia_range_break_down,EURUSD,217906
asia_range_break_down,GBPAUD,183830
asia_range_break_down,GBPJPY,182845
asia_range_break_down,GBPUSD,221566
asia_range_break_down,NZDUSD,168201
asia_range_break_down,USDCAD,195708
asia_range_break_down,USDCHF,197242
asia_range_break_down,USDJPY,155983
asia_range_break_up,AUDJPY,168888
asia_range_break_up,AUDUSD,166644
asia_range_break_up,CADJPY,188500
asia_range_break_up,CHFJPY,183583
asia_range_break_up,EURAUD,165191
asia_range_break_up,EURGBP,217230
asia_range_break_up,EURJPY,187775
asia_range_break_up,EURUSD,202833
asia_range_break_up,GBPAUD,174618
asia_range_break_up,GBPJPY,194666
asia_range_break_up,GBPUSD,207856
asia_range_break_up,NZDUSD,178208
asia_range_break_up,USDCAD,217261
asia_range_break_up,USDCHF,221912
asia_range_break_up,USDJPY,181959
