event,horizon,dispersion_regime,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75,pair_breadth_same_sign,year_breadth_same_sign
asia_sweep_high,4,not_applicable,69322,0.048720337246546834,0.0216911780078413,0.006876649122110171,7.084895038471367,0.48843080118865584,-0.7847760769604528,0.0216911780078413,0.8390937825802298,14,5
divergence_EURUSD_GBPUSD_laggard,16,not_applicable,33641,0.0034696744132870928,0.0,0.003992056912817492,0.8691445260078432,0.4396123777533367,-0.2978424307883215,0.0,0.2974165264069462,2,2
m15_shock_down_1_5_2_0,16,not_applicable,19667,0.047852488008091755,0.1161598553284009,0.03160662477625566,1.514001838122264,0.5172115726852087,-1.7800109514148992,0.1161598553284009,1.9066060676254013,10,3
divergence_AUDUSD_NZDUSD_laggard,8,not_applicable,34035,0.0044967008988423575,0.0,0.0038530450565009687,1.167051210900167,0.43945938004994856,-0.32788346916482414,0.0,0.3364155253627743,2,3
breaker_down,1,not_applicable,104037,0.039452620321601885,0.079336405294591,0.002912418912671098,13.546341204541307,0.44372675105971915,-0.3826982339957572,0.079336405294591,0.5076083380501138,15,5
m15_shock_down_0_5_1_0,8,not_applicable,242332,0.045575300000434096,0.07871512699431565,0.004764198150994356,9.566205803367327,0.5192958420679068,-1.0084426624246192,0.07871512699431565,1.1289219712463943,15,5
ny_open_range_break_up,2,not_applicable,580990,-0.004866718844038001,0.0,0.001700845259937694,-2.8613530922949924,0.46995989603951877,-0.537232610882756,0.0,0.4982096428418942,11,4
divergence_AUDUSD_NZDUSD_leader,16,not_applicable,33634,0.0012791638009025373,0.0,0.003903454519302201,0.3277004495831058,0.4412499256704525,-0.3343496105017788,0.0,0.3268334831469284,2,3
fvg_up,8,not_applicable,176085,-0.0200819646089643,-0.0542916131279451,0.005694418190062251,-3.5266051664436615,0.4823011613709288,-1.0792329051574256,-0.0542916131279451,1.0217525670859422,10,4
usd_basket_persistence,8,normal,22086,0.0016036693283499567,0.0,0.0033082283824829592,0.4847516987767144,0.4186815177035226,-0.20271400099247341,0.0,0.20608247947639569,1,3
ny_open_extreme_down,8,not_applicable,514840,0.002433046959360945,0.0,0.0032306600018321844,0.7531114255233006,0.4567341309921529,-0.9017038269025709,0.0,0.9484211069089039,7,3
london_body_extreme_up,4,not_applicable,543788,0.002917360878171063,0.0,0.0021401944204732988,1.3631289056093772,0.46815119127306964,-0.6611490948242471,0.0,0.6619357173993262,9,3
m15_shock_up_1_5_2_0,8,not_applicable,19568,-0.041448857480218,-0.1032651434431785,0.02298444410205883,-1.8033439180069282,0.47741210139002455,-1.41091403233075,-0.1032651434431785,1.3040481539492683,10,3
jpy_basket_persistence,4,low,4932,-0.0035609479775650706,0.0,0.006416121578305445,-0.5550000781789345,0.4543795620437956,-0.24841525081702115,0.0,0.23027764642067577,1,2
atr_expansion,16,not_applicable,482165,0.041019024641060796,0.0513121038209095,0.003637749630601518,11.275933971925967,0.5104849999481506,-1.2181478016462488,0.0513121038209095,1.3293797665911635,12,5
divergence_EURUSD_GBPUSD_leader,4,not_applicable,34246,-0.009071802275282205,0.0,0.00393004232318387,-2.308321776019147,0.4254803480698476,-0.3140519654356249,0.0,0.28695987769248754,2,4
ote_down,1,not_applicable,123,0.2627833739292438,0.1160453390902307,0.3879193028031635,0.677417627919857,0.43089430894308944,-0.6647669548500347,0.1160453390902307,0.8972801660105421,10,3
usd_basket_persistence,16,normal,21804,0.0017047187464620816,0.0,0.0033727205909498347,0.5054432172758178,0.42272060172445425,-0.2019733680429512,0.0,0.20533174869199344,1,2
usd_strongest,16,normal,21804,-0.003045127939684451,0.0,0.004867255163231617,-0.6256355661581211,0.4261144744083654,-0.30219251516171286,-0.0,0.2879958457910807,4,4
jpy_basket_persistence,8,normal,21946,-0.011675213543306816,0.0,0.003878548181496013,-3.0102020129613334,0.41392508885446094,-0.2588733902673971,0.0,0.24487749776216375,1,3
jpy_strongest,4,normal,22087,-0.028020309690200144,0.0,0.004452396727871841,-6.293309289981737,0.4073889618327523,-0.33564485664772337,0.0,0.2673022578206868,5,5
fvg_up_h1_up,16,not_applicable,87220,-0.01077604368121875,-0.0682592399971608,0.013054514870461885,-0.8254648899746883,0.4852327447833066,-1.561272875129585,-0.0682592399971608,1.5288417267030607,8,2
usd_breadth_pos_minus_neg,0,normal,22636,0.03684396536490546,0.0,0.026905956550407853,1.3693609181252826,,-3.0,0.0,3.0,1,4
m15_shock_down_0_5_1_0,16,not_applicable,236668,0.05807195399732867,0.09261759627724606,0.006995268855409227,8.301604298228424,0.5161661061064444,-1.4807047305994145,0.09261759627724606,1.6246929852824126,14,5
asia_range_break_up,16,not_applicable,578068,0.04298147120494028,0.0,0.00595790408333286,7.214193213546396,0.48384100140467906,-1.3980687660454862,0.0,1.4573282304334085,11,4
prior_sweep_high,4,not_applicable,52778,0.06330246961104799,0.0386952214898018,0.007816374342726261,8.098699836447294,0.48287165106673235,-0.7427405745255364,0.0386952214898018,0.8220535555485268,14,5
ob_candidate_up,1,not_applicable,201734,-0.03633650419806636,-0.0688145866028992,0.0017731818742807012,-20.492260114494133,0.445249685229064,-0.45406329960213787,-0.0688145866028992,0.33933674138126946,15,5
london_body_sweep_low,16,not_applicable,68992,-0.029436067580377187,0.005194906067482149,0.015100407065569714,-1.9493558983250239,0.5001159554730983,-1.5345939631449272,0.005194906067482149,1.5114518204905438,11,4
m15_shock_down_1_5_2_0,4,not_applicable,20069,0.058530467100821895,0.1304837565314667,0.014138740321205311,4.139722901129868,0.5345059544571229,-0.891696275936629,0.1304837565314667,1.0613171895603724,12,5
divergence_EURUSD_GBPUSD_leader,16,not_applicable,33641,-0.00152454945524834,0.0,0.003988574468086222,-0.3822291566690597,0.43976100591540085,-0.3017344646181434,0.0,0.2961976404713157,1,2
