event,horizon,dispersion_regime,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75,pair_breadth_same_sign,year_breadth_same_sign
asia_sweep_high,4,not_applicable,73586,0.04861846643277953,0.0202763462518188,0.006617357646778085,7.34711179717652,0.48904682955997064,-0.7829310040786666,0.0202763462518188,0.8351499317400743,14,5
m15_shock_down_1_5_2_0,16,not_applicable,19667,0.047852488008091755,0.1161598553284009,0.03160662477625566,1.514001838122264,0.5172115726852087,-1.7800109514148992,0.1161598553284009,1.9066060676254013,10,3
breaker_down,1,not_applicable,110971,0.04114686832790291,0.0795893557908154,0.0028129964492765434,14.627415665058948,0.44359337124113507,-0.37972970611293266,0.0795893557908154,0.5062242139509474,15,5
m15_shock_down_0_5_1_0,8,not_applicable,242332,0.045575300000434096,0.07871512699431565,0.004764198150994356,9.566205803367327,0.5192958420679068,-1.0084426624246192,0.07871512699431565,1.1289219712463943,15,5
ny_open_range_break_up,2,not_applicable,620015,-0.0044911821563517595,0.0,0.0016302612654050578,-2.754884908116781,0.46982573002266076,-0.5375934291991857,0.0,0.4979530020905961,11,4
fvg_up,8,not_applicable,186937,-0.01901794182453253,-0.0550745932269969,0.0054912306756667705,-3.4633296154915736,0.4821303433777155,-1.0789807630531432,-0.0550745932269969,1.0228035228186632,10,4
ny_open_extreme_down,8,not_applicable,514840,0.002433046959360945,0.0,0.0032306600018321844,0.7531114255233006,0.4567341309921529,-0.9017038269025709,0.0,0.9484211069089039,7,3
london_body_extreme_up,4,not_applicable,577658,0.003966669333481046,0.0,0.0020616422766470215,1.9240337562015315,0.46774735223956043,-0.6601834355741028,0.0,0.660498691647893,9,3
m15_shock_up_1_5_2_0,8,not_applicable,19568,-0.041448857480218,-0.1032651434431785,0.02298444410205883,-1.8033439180069282,0.47741210139002455,-1.41091403233075,-0.1032651434431785,1.3040481539492683,10,3
atr_expansion,16,not_applicable,482165,0.041019024641060796,0.0513121038209095,0.003637749630601518,11.275933971925967,0.5104849999481506,-1.2181478016462488,0.0513121038209095,1.3293797665911635,12,5
