event,pair,event_count
asia_extreme_down,AUDJPY,194519
asia_extreme_down,AUDUSD,188504
asia_extreme_down,CADJPY,176475
asia_extreme_down,CHFJPY,177152
asia_extreme_down,EURAUD,417236
asia_extreme_down,EURGBP,128312
asia_extreme_down,EURJPY,182386
asia_extreme_down,EURUSD,144947
asia_extreme_down,GBPAUD,206788
asia_extreme_down,GBPJPY,175625
asia_extreme_down,GBPUSD,141761
asia_extreme_down,NZDUSD,176840
asia_extreme_down,USDCAD,162092
asia_extreme_down,USDCHF,151120
asia_extreme_down,USDJPY,204037
asia_extreme_up,AUDJPY,222390
asia_extreme_up,AUDUSD,227392
asia_extreme_up,CADJPY,179677
asia_extreme_up,CHFJPY,172621
asia_extreme_up,EURAUD,372456
asia_extreme_up,EURGBP,149452
asia_extreme_up,EURJPY,187066
asia_extreme_up,EURUSD,174636
asia_extreme_up,GBPAUD,172449
asia_extreme_up,GBPJPY,184196
asia_extreme_up,GBPUSD,158137
asia_extreme_up,NZDUSD,210388
asia_extreme_up,USDCAD,145257
asia_extreme_up,USDCHF,149593
asia_extreme_up,USDJPY,199187
asia_range_break_down,AUDJPY,151737
asia_range_break_down,AUDUSD,173778
asia_range_break_down,CADJPY,185694
asia_range_break_down,CHFJPY,190782
asia_range_break_down,EURAUD,382360
asia_range_break_down,EURGBP,230594
asia_range_break_down,EURJPY,185614
asia_range_break_down,EURUSD,225486
asia_range_break_down,GBPAUD,191101
asia_range_break_down,GBPJPY,190674
asia_range_break_down,GBPUSD,229610
asia_range_break_down,NZDUSD,176097
asia_range_break_down,USDCAD,203406
asia_range_break_down,USDCHF,204260
asia_range_break_down,USDJPY,163339
asia_range_break_up,AUDJPY,176669
asia_range_break_up,AUDUSD,174262
asia_range_break_up,CADJPY,196548
asia_range_break_up,CHFJPY,191659
asia_range_break_up,EURAUD,346980
asia_range_break_up,EURGBP,226983
asia_range_break_up,EURJPY,196635
asia_range_break_up,EURUSD,211351
asia_range_break_up,GBPAUD,183817
asia_range_break_up,GBPJPY,202970
asia_range_break_up,GBPUSD,217405
asia_range_break_up,NZDUSD,186588
asia_range_break_up,USDCAD,227474
asia_range_break_up,USDCHF,231472
asia_range_break_up,USDJPY,190324
asia_sweep_high,AUDJPY,23759
asia_sweep_high,AUDUSD,21449
asia_sweep_high,CADJPY,25109
asia_sweep_high,CHFJPY,25117
asia_sweep_high,EURAUD,42380
asia_sweep_high,EURGBP,23745
asia_sweep_high,EURJPY,22436
asia_sweep_high,EURUSD,22601
asia_sweep_high,GBPAUD,21334
asia_sweep_high,GBPJPY,22597
asia_sweep_high,GBPUSD,22693
asia_sweep_high,NZDUSD,22807
asia_sweep_high,USDCAD,25407
asia_sweep_high,USDCHF,25344
asia_sweep_high,USDJPY,19287
asia_sweep_low,AUDJPY,20506
asia_sweep_low,AUDUSD,18502
asia_sweep_low,CADJPY,23013
asia_sweep_low,CHFJPY,23802
asia_sweep_low,EURAUD,46870
asia_sweep_low,EURGBP,22780
asia_sweep_low,EURJPY,21147
asia_sweep_low,EURUSD,22299
asia_sweep_low,GBPAUD,22402
asia_sweep_low,GBPJPY,22245
asia_sweep_low,GBPUSD,23553
asia_sweep_low,NZDUSD,21369
asia_sweep_low,USDCAD,24713
