hypothesis,entry_year,trade_count,expectancy_r,profit_factor,win_rate,average_win_r,average_loss_r,max_drawdown_r,total_r,annual_trade_frequency,monthly_trade_frequency
H1_MSS_REVERSAL,2018,49674,-0.06532584808210488,0.8752966429632316,0.5160647421186133,0.8885011324702373,-1.0824794171348648,3269.7272590623866,-3244.996177630478,16558.0,1379.8333333333333
H1_MSS_REVERSAL,2019,49228,-0.050240691218611966,0.9025229262741968,0.5236247663931096,0.8883644807941952,-1.0819419201203273,2502.5386218803765,-2473.24874730983,16409.333333333332,1367.4444444444443
H1_MSS_REVERSAL,2020,50416,-0.0757954649502111,0.8571193393135059,0.5107505553792446,0.8902299852511844,-1.0842749647753118,3835.3041609278316,-3821.3041609298425,16805.333333333332,1400.4444444444443
H2_OB_REVERSAL,2018,46843,-0.06586998591325688,0.874334963218545,0.5155306022244519,0.8889892369114283,-1.0819489218431644,3101.3621035012593,-3085.547750134692,15614.333333333334,1301.1944444444443
H2_OB_REVERSAL,2019,46502,-0.048752242063065485,0.9052549189719288,0.5242785256548106,0.8884781372257446,-1.0816460422195247,2293.7228488810774,-2267.0767604166713,15500.666666666666,1291.7222222222222
H2_OB_REVERSAL,2020,47613,-0.07772147567339617,0.853773380198658,0.5097977443135279,0.8901420085439791,-1.0842746184501035,3713.6422878169983,-3700.5526212374116,15871.0,1322.5833333333333
H3_SHOCK_REVERSAL,2018,57830,-0.0714136650895374,0.8648714020835976,0.5129344630814456,0.8910943897041362,-1.085042252775295,4140.952790556324,-4129.852252127948,19276.666666666668,1606.388888888889
H3_SHOCK_REVERSAL,2019,57165,-0.06687582840139311,0.872813319375581,0.5153677949794455,0.8904952977170232,-1.0849638570822573,3825.9567305639325,-3822.9567305656374,19055.0,1587.9166666666667
H3_SHOCK_REVERSAL,2020,59533,-0.07498375879854333,0.8587934779765134,0.5111282817932911,0.8922186072945023,-1.0862193552060917,4468.3717024496555,-4464.00811255368,19844.333333333332,1653.6944444444443
H4_LONDON_SWEEP_REVERSAL,2018,16389,-0.08657444932168509,0.8387021531657667,0.5050948807126732,0.8912426451004404,-1.0845241358740652,1431.3027781382089,-1418.868649933097,5463.0,455.25
H4_LONDON_SWEEP_REVERSAL,2019,16766,-0.0834705285389159,0.8440111891409051,0.5069784086842419,0.8908374300913785,-1.0853599125647448,1406.302533382086,-1399.466881483464,5588.666666666667,465.72222222222223
H4_LONDON_SWEEP_REVERSAL,2020,16642,-0.08807477493080194,0.8361795115585005,0.5047470255978849,0.8906541159787656,-1.0855660008032075,1468.69769018575,-1465.7404043984059,5547.333333333333,462.27777777777777
H5_PEER_CONVERGENCE,2018,7483,-0.28155332594763466,0.5247540848238726,0.42442870506481356,0.7324759144863249,-1.029302772805832,2109.3620341378883,-2106.8635380661503,2494.3333333333335,207.86111111111111
H5_PEER_CONVERGENCE,2019,8055,-0.270576739072489,0.5465940469055806,0.4360024829298572,0.7481336262624799,-1.058098377429612,2181.8956332290204,-2179.495633228899,2685.0,223.75
H5_PEER_CONVERGENCE,2020,7895,-0.27875596401340463,0.5333651385715683,0.4331855604813173,0.7355253433935213,-1.0539162034171334,2200.6804762261427,-2200.7783358858296,2631.6666666666665,219.30555555555554
