mechanism,horizon_h1,currency,sample_count,mean_forward_atr,t_stat,role
S3-01,4,AUD,3365.0,-0.013357661210443173,-0.5392103014692693,base
S3-01,4,CAD,3779.0,-0.005758400179291495,-0.2629506256370163,base
S3-01,4,CHF,2659.0,-0.06162742235180026,-2.1309961588764827,base
S3-01,4,EUR,5667.0,-0.026482822639942078,-1.1977680239570907,base
S3-01,4,GBP,4772.0,0.004777198076238826,0.20823369780868628,base
S3-01,4,NZD,6026.0,0.01571914368175091,0.8723596989410465,base
S3-01,4,USD,4507.0,-0.03096061562219387,-1.2875479401241345,base
S3-01,8,AUD,3365.0,-0.033173912713436254,-0.9209554137267925,base
S3-01,8,CAD,3779.0,-0.05728915533903841,-1.8197770175975005,base
S3-01,8,CHF,2659.0,-0.09890679931741486,-2.5288705756061596,base
S3-01,8,EUR,5667.0,-0.038956660232055386,-1.2723316443688621,base
S3-01,8,GBP,4772.0,-0.016405708304526947,-0.5058611745896247,base
S3-01,8,NZD,6026.0,-0.02331677426909048,-0.9286990546206988,base
S3-01,8,USD,4507.0,-0.0030333513553037618,-0.09207434791074144,base
S3-02,4,AUD,793.0,-0.03632556885593781,-0.698079775732308,base
S3-02,4,CAD,572.0,0.09660453460977979,1.7247518713483563,base
S3-02,4,CHF,394.0,-0.046241341662173384,-0.5579486622136236,base
S3-02,4,EUR,2484.0,-0.0304528879348309,-0.9013189480393679,base
S3-02,4,GBP,1744.0,0.04075228003192011,1.0387616057836577,base
S3-02,4,NZD,3052.0,-0.010763742269099761,-0.421312740391861,base
S3-02,4,USD,1593.0,-0.1035683452586311,-2.6427498654456114,base
S3-02,8,AUD,793.0,-0.14642984329673897,-1.7888246022658743,base
S3-02,8,CAD,572.0,0.1403505788105927,1.7621617972216437,base
S3-02,8,CHF,394.0,-0.20467505819499798,-1.7331610997436018,base
S3-02,8,EUR,2484.0,-0.03263600495614041,-0.678949852319426,base
S3-02,8,GBP,1744.0,0.01584157344833664,0.2841075445078211,base
S3-02,8,NZD,3052.0,-0.05829060066891176,-1.5829111834628333,base
S3-02,8,USD,1593.0,-0.06291108264712027,-1.2113571486734958,base
S3-03,4,AUD,781.0,-0.12326113273453676,-2.253157799971394,base
S3-03,4,CAD,840.0,-0.061749714992051556,-1.3034789570161747,base
S3-03,4,CHF,586.0,0.049757209840340086,0.8168508674696343,base
S3-03,4,EUR,1038.0,-0.036032588694060674,-0.6965276504557162,base
S3-03,4,GBP,909.0,-0.01684042705038515,-0.3480036546244201,base
S3-03,4,NZD,1297.0,-0.0695211038803003,-1.9146136876134063,base
S3-03,4,USD,879.0,-0.01373955697829879,-0.2654842608615377,base
S3-03,8,AUD,781.0,-0.1352278693480355,-1.6197219846033872,base
S3-03,8,CAD,840.0,-0.12033063259150098,-1.7930399434237596,base
S3-03,8,CHF,586.0,0.025874996072119454,0.3102410935836106,base
S3-03,8,EUR,1038.0,0.05685377592667486,0.7667902523266074,base
S3-03,8,GBP,909.0,-0.03333763544531901,-0.4677709647910976,base
S3-03,8,NZD,1297.0,-0.1468080309886581,-2.8362852761506905,base
S3-03,8,USD,879.0,0.15959596599769382,2.4384211884323497,base
S3-04,4,AUD,12.0,-0.34437102827816585,-1.2644114413832768,base
S3-04,4,CAD,28.0,0.31616352571094014,1.4499937046680917,base
S3-04,4,CHF,9.0,-0.9637599355504138,-2.657437229631953,base
S3-04,4,EUR,83.0,-0.10864689070075507,-0.9445230413622866,base
S3-04,4,GBP,45.0,0.5363449181258682,2.3793176703305585,base
S3-04,4,NZD,198.0,0.14398934749614456,1.456570470380196,base
S3-04,4,USD,42.0,-0.2789620550267049,-1.490447582773639,base
S3-04,8,AUD,12.0,-0.38402394072430807,-0.7038479909796189,base
S3-04,8,CAD,28.0,0.01687355427793482,0.06793722241997006,base
S3-04,8,CHF,9.0,-1.218777266732213,-1.412461203237014,base
S3-04,8,EUR,83.0,-0.12105166591962745,-0.6211592284711296,base
S3-04,8,GBP,45.0,0.5818912812184924,1.859843461014833,base
S3-04,8,NZD,198.0,-0.0964966926014572,-0.6845249397394544,base
S3-04,8,USD,42.0,-0.10743960054789344,-0.43868420503493316,base
S3-05,4,AUD,2512.0,0.010041279786405281,0.3383576904568949,base
S3-05,4,CAD,2605.0,0.025679302138897214,0.9206218263147606,base
S3-05,4,CHF,1971.0,-0.07477904098638324,-2.146496048252424,base
S3-05,4,EUR,4120.0,-0.03294352073341132,-1.272553330545548,base
S3-05,4,GBP,3507.0,0.009081581247113195,0.33022935274924403,base
S3-05,4,NZD,4496.0,0.0004795045073571645,0.022070985919688636,base
S3-05,4,USD,3275.0,-0.028583657141998474,-0.9621733389147775,base
S3-05,8,AUD,2512.0,-0.01556785013539339,-0.3583557857334633,base
S3-05,8,CAD,2605.0,-0.0610747049343193,-1.5176359526386425,base
S3-05,8,CHF,1971.0,-0.13466916263253925,-2.859268636980284,base
S3-05,8,EUR,4120.0,-0.039182435000107894,-1.0909959609269357,base
S3-05,8,GBP,3507.0,-0.03365263451102203,-0.8561327992161532,base
S3-05,8,NZD,4496.0,-0.038832750005627865,-1.2800311919505696,base
S3-05,8,USD,3275.0,-0.01021155300806974,-0.2521941011789483,base
S3-06,4,AUD,382.0,0.06714927640490113,0.9447532862449903,base
S3-06,4,CAD,277.0,0.06339190002910164,0.8470772312965633,base
S3-06,4,CHF,161.0,-0.1219001455032981,-0.9544484699063592,base
S3-06,4,EUR,1014.0,-0.04062655611078402,-0.8304569145962445,base
S3-06,4,GBP,746.0,-0.00928095772827126,-0.16262757332758537,base
S3-06,4,NZD,1312.0,-0.010249325773006268,-0.27567458002073336,base
S3-06,4,USD,699.0,-0.13430308858593984,-2.54927671207213,base
