mechanism,horizon_h1,pair,sample_count,mean_forward_atr,t_stat
S3-01,4,AUDJPY,2293.0,-0.02440103229901967,-0.8221690719982452
S3-01,4,AUDUSD,1072.0,0.010264027134804843,0.22849603335007504
S3-01,4,CADJPY,3779.0,-0.005758400179291495,-0.2629506256370163
S3-01,4,CHFJPY,2659.0,-0.06162742235180026,-2.1309961588764827
S3-01,4,EURAUD,2456.0,-0.03676985772708261,-1.1912338292924187
S3-01,4,EURGBP,1627.0,-0.00517299789062592,-0.10947822771789872
S3-01,4,EURJPY,1048.0,-0.03642329775961275,-0.7837719299411753
S3-01,4,EURUSD,536.0,-0.02459571213192971,-0.3218409911117476
S3-01,4,GBPAUD,2375.0,0.03612302392343609,1.201269107058506
S3-01,4,GBPJPY,1694.0,-0.040658760086908746,-1.053231241548985
S3-01,4,GBPUSD,703.0,0.00836493170536894,0.11514520877498145
S3-01,4,NZDUSD,6026.0,0.01571914368175091,0.8723596989410465
S3-01,4,USDCAD,1726.0,-0.05692436004989259,-1.5273349600564445
S3-01,4,USDCHF,1960.0,-0.03578894647873181,-0.9064838059254295
S3-01,4,USDJPY,821.0,0.03515016557271754,0.7171843815679907
S3-01,8,AUDJPY,2293.0,-0.04933892706834954,-1.145784584985392
S3-01,8,AUDUSD,1072.0,0.0014029323572877527,0.021386237746757783
S3-01,8,CADJPY,3779.0,-0.05728915533903841,-1.8197770175975005
S3-01,8,CHFJPY,2659.0,-0.09890679931741486,-2.5288705756061596
S3-01,8,EURAUD,2456.0,-0.05826368249359992,-1.3314190625924713
S3-01,8,EURGBP,1627.0,0.0035835593406191952,0.0584313707301895
S3-01,8,EURJPY,1048.0,-0.03864228734184586,-0.5894555734789301
S3-01,8,EURUSD,536.0,-0.08023343888751759,-0.6893529038793882
S3-01,8,GBPAUD,2375.0,-0.014003990434787532,-0.31990910255978605
S3-01,8,GBPJPY,1694.0,-0.059507021511871386,-1.1315107435293021
S3-01,8,GBPUSD,703.0,0.0793404433777068,0.7729098243323622
S3-01,8,NZDUSD,6026.0,-0.02331677426909048,-0.9286990546206988
S3-01,8,USDCAD,1726.0,-0.02299789269040633,-0.4692910243004921
S3-01,8,USDCHF,1960.0,-0.03882092378542259,-0.7109971131300251
S3-01,8,USDJPY,821.0,0.12437522392778996,1.7429411252218414
S3-02,4,AUDJPY,298.0,0.09926289925591683,1.350624065905861
S3-02,4,AUDUSD,495.0,-0.11795256582024624,-1.6741634946292976
S3-02,4,CADJPY,572.0,0.09660453460977979,1.7247518713483563
S3-02,4,CHFJPY,394.0,-0.046241341662173384,-0.5579486622136236
S3-02,4,EURAUD,1245.0,-0.02459852334476526,-0.5538436147041227
S3-02,4,EURGBP,757.0,-0.0056592807358870935,-0.08132134256202773
S3-02,4,EURJPY,216.0,0.03920655301431994,0.3861154948999606
S3-02,4,EURUSD,266.0,-0.184978766916969,-1.820940621371962
S3-02,4,GBPAUD,1136.0,0.07061941760521576,1.572983316062417
S3-02,4,GBPJPY,260.0,0.009165295295947166,0.11092111600526582
S3-02,4,GBPUSD,348.0,-0.033145571266674445,-0.28644731262902406
S3-02,4,NZDUSD,3052.0,-0.010763742269099761,-0.421312740391861
S3-02,4,USDCAD,793.0,-0.12803829170109715,-2.3456843347622454
S3-02,4,USDCHF,649.0,-0.10071089044724742,-1.5276335743977614
S3-02,4,USDJPY,151.0,0.012658008094266758,0.13701411767068827
S3-02,8,AUDJPY,298.0,-0.028348631626794994,-0.21657389193012425
S3-02,8,AUDUSD,495.0,-0.21751711820106884,-2.075672037293739
S3-02,8,CADJPY,572.0,0.1403505788105927,1.7621617972216437
S3-02,8,CHFJPY,394.0,-0.20467505819499798,-1.7331610997436018
S3-02,8,EURAUD,1245.0,-0.11401301847597556,-1.803530667079187
S3-02,8,EURGBP,757.0,0.12033572361258431,1.2719752562596005
S3-02,8,EURJPY,216.0,0.2099404566763041,1.3335343276600555
S3-02,8,EURUSD,266.0,-0.28407108919274915,-1.8117197870011172
S3-02,8,GBPAUD,1136.0,-0.004760065260148418,-0.07621247095936237
S3-02,8,GBPJPY,260.0,-0.049604498431818064,-0.43249474809376776
S3-02,8,GBPUSD,348.0,0.13198939029224255,0.7720844563874781
S3-02,8,NZDUSD,3052.0,-0.05829060066891176,-1.5829111834628333
S3-02,8,USDCAD,793.0,-0.13221264558424897,-1.7877082059806522
S3-02,8,USDCHF,649.0,-0.018534631523127378,-0.22361327156413704
S3-02,8,USDJPY,151.0,0.11030628576130143,0.7379387362737216
S3-03,4,AUDJPY,540.0,-0.11840261028482031,-1.9587889633380544
S3-03,4,AUDUSD,241.0,-0.13414744859697192,-1.1705916081893288
S3-03,4,CADJPY,840.0,-0.061749714992051556,-1.3034789570161747
S3-03,4,CHFJPY,586.0,0.049757209840340086,0.8168508674696343
S3-03,4,EURAUD,443.0,-0.14808321264680294,-1.9926699156783998
S3-03,4,EURGBP,259.0,0.029577132789665006,0.2546932067444774
S3-03,4,EURJPY,233.0,-0.055742660328507325,-0.5493041973828275
S3-03,4,EURUSD,103.0,0.32550095730211326,1.8614327847937717
S3-03,4,GBPAUD,426.0,-0.029784393645969198,-0.4682036283081703
S3-03,4,GBPJPY,365.0,-0.0031755547838817778,-0.039215899328815716
S3-03,4,GBPUSD,118.0,-0.012378974572037045,-0.08021261790923995
S3-03,4,NZDUSD,1297.0,-0.0695211038803003,-1.9146136876134063
S3-03,4,USDCAD,289.0,0.0331451280212111,0.3770491002531936
S3-03,4,USDCHF,396.0,-0.0954264472704339,-1.131899011996757
S3-03,4,USDJPY,194.0,0.08315907493318128,0.9183725399248431
S3-03,8,AUDJPY,540.0,-0.09655413313707709,-1.0073014509833405
S3-03,8,AUDUSD,241.0,-0.22188271397010004,-1.347061693067329
S3-03,8,CADJPY,840.0,-0.12033063259150098,-1.7930399434237596
S3-03,8,CHFJPY,586.0,0.025874996072119454,0.3102410935836106
S3-03,8,EURAUD,443.0,-0.041255333399898425,-0.37939199164706194
S3-03,8,EURGBP,259.0,-0.07982895376969612,-0.5029585929792872
S3-03,8,EURJPY,233.0,0.15291793079819943,1.0872787576815448
S3-03,8,EURUSD,103.0,0.605205371440916,2.1831142768947314
S3-03,8,GBPAUD,426.0,-0.13828333497307543,-1.408170683953889
S3-03,8,GBPJPY,365.0,0.021672337284930867,0.18347859924688573
S3-03,8,GBPUSD,118.0,0.1753761607604694,0.8543480997109878
