mechanism,horizon_h1,sample_count,mean_forward_atr,t_stat
S3-01,4,30775.0,-0.013084456271254515,-1.5119217993049225
S3-01,8,30775.0,-0.033935101334203056,-2.8047150306346205
S3-02,4,10632.0,-0.018263335550940934,-1.2157428654584934
S3-02,8,10632.0,-0.04214077386183402,-1.9712473995314854
S3-03,4,6330.0,-0.0432756236749552,-2.3328722501518184
S3-03,8,6330.0,-0.033640253227114954,-1.277078623543934
S3-04,4,417.0,0.06704460633388733,1.0411178986065628
S3-04,8,417.0,-0.05416261905059092,-0.5818881414131971
S3-05,4,22486.0,-0.011144936304895483,-1.0662663638226428
S3-05,8,22486.0,-0.042298553188654046,-2.886207189535271
S3-06,4,4591.0,-0.028721245965732767,-1.3456632966161688
S3-06,8,4591.0,-0.05831811743322011,-1.8651298061523363
