family,pair,signal_dt,entry_dt,exit_dt,side,r,reason
range_mean_reversion,EURUSD,2014-07-17 00:00:00,2014-07-17 00:00:00,2014-07-18 16:00:00,1,-0.1582243752883996,FRIDAY
range_mean_reversion,EURUSD,2014-07-23 08:00:00,2014-07-23 08:00:00,2014-07-24 12:00:00,1,-1.0269087782538506,SL
range_mean_reversion,EURUSD,2014-07-30 04:00:00,2014-07-30 04:00:00,2014-07-30 12:00:00,1,-1.032794278118851,SL
range_mean_reversion,EURUSD,2016-03-24 08:00:00,2016-03-24 08:00:00,2016-03-25 16:00:00,1,-0.20165805531512448,FRIDAY
range_mean_reversion,EURUSD,2016-03-30 16:00:00,2016-03-30 16:00:00,2016-03-30 20:00:00,-1,-1.015328719417902,SL
range_mean_reversion,EURUSD,2016-03-31 04:00:00,2016-03-31 04:00:00,2016-03-31 16:00:00,-1,-1.0146016679493,SL
range_mean_reversion,EURUSD,2016-03-31 20:00:00,2016-03-31 20:00:00,2016-04-01 16:00:00,-1,-0.40591515370420866,FRIDAY
range_mean_reversion,EURUSD,2016-04-01 20:00:00,2016-04-01 20:00:00,2016-04-05 20:00:00,-1,-0.10790146173987616,TIME
range_mean_reversion,EURUSD,2016-04-14 12:00:00,2016-04-14 12:00:00,2016-04-15 16:00:00,1,-0.09163280984158462,FRIDAY
range_mean_reversion,EURUSD,2016-06-27 04:00:00,2016-06-27 04:00:00,2016-06-29 04:00:00,1,0.3558637622377931,TIME
range_mean_reversion,EURUSD,2016-07-06 08:00:00,2016-07-06 08:00:00,2016-07-08 08:00:00,1,0.476946164747118,TIME
range_mean_reversion,EURUSD,2016-07-20 00:00:00,2016-07-20 00:00:00,2016-07-22 00:00:00,1,0.08078411645729788,TIME
range_mean_reversion,EURUSD,2016-07-28 16:00:00,2016-07-28 16:00:00,2016-07-29 16:00:00,-1,-0.0,FRIDAY
range_mean_reversion,EURUSD,2016-08-01 12:00:00,2016-08-01 12:00:00,2016-08-02 12:00:00,-1,-1.0146429116177191,SL
range_mean_reversion,EURUSD,2016-08-02 16:00:00,2016-08-02 16:00:00,2016-08-04 00:00:00,-1,1.183401782399097,TP
range_mean_reversion,EURUSD,2016-08-04 08:00:00,2016-08-04 08:00:00,2016-08-05 16:00:00,1,0.0781728377683091,FRIDAY
range_mean_reversion,EURUSD,2016-08-05 20:00:00,2016-08-05 20:00:00,2016-08-09 20:00:00,1,0.328867774159307,TIME
range_mean_reversion,EURUSD,2016-08-10 12:00:00,2016-08-10 12:00:00,2016-08-10 16:00:00,-1,-1.0189958105657064,SL
range_mean_reversion,EURUSD,2016-08-10 20:00:00,2016-08-10 20:00:00,2016-08-12 16:00:00,-1,0.293237821902084,FRIDAY
range_mean_reversion,EURUSD,2016-08-16 20:00:00,2016-08-16 20:00:00,2016-08-18 00:00:00,-1,-1.0144733941839188,SL
range_mean_reversion,EURUSD,2016-08-18 16:00:00,2016-08-18 16:00:00,2016-08-19 00:00:00,-1,-1.0143782550068392,SL
range_mean_reversion,EURUSD,2016-08-19 04:00:00,2016-08-19 04:00:00,2016-08-19 16:00:00,-1,0.5141098565976016,FRIDAY
range_mean_reversion,EURUSD,2016-08-24 20:00:00,2016-08-24 20:00:00,2016-08-26 16:00:00,1,0.45212470008666744,FRIDAY
range_mean_reversion,EURUSD,2016-08-29 04:00:00,2016-08-29 04:00:00,2016-08-30 20:00:00,1,-1.014537936687691,SL
