pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,year
USDJPY,2013-11-12 08:00:00,2013-11-12 08:00:00,2013-11-13 16:00:00,1,99642.0,99634.0,99205.61504795346,100951.15485613963,99198.61504795346,SL,-1.0160408830945566,290.9233013643616,h4,2013
USDJPY,2013-11-14 12:00:00,2013-11-14 12:00:00,2013-11-15 16:00:00,1,100037.0,100028.0,99600.70532134164,101345.88403597509,100148.0,FRIDAY,0.2544152047449508,290.8631191055755,h4,2013
USDJPY,2013-11-21 08:00:00,2013-11-21 08:00:00,2013-11-22 16:00:00,1,100722.0,100712.0,100263.51795247087,102097.44614258739,101081.0,FRIDAY,0.7830186632927923,305.6546983527517,h4,2013
USDJPY,2013-11-25 08:00:00,2013-11-25 08:00:00,2013-11-25 20:00:00,1,101880.0,101870.0,101423.71231132314,103248.86306603061,101416.71231132314,SL,-1.0153411984888154,304.19179245124656,h4,2013
USDJPY,2013-11-27 16:00:00,2013-11-27 16:00:00,2013-11-29 16:00:00,1,102137.0,102131.0,101696.60495695926,103458.18512912221,102295.0,FRIDAY,0.3587687974621095,293.5966953604929,h4,2013
USDJPY,2013-12-02 12:00:00,2013-12-02 12:00:00,2013-12-03 12:00:00,1,102786.0,102782.0,102413.0212544974,103904.93623650778,102406.0212544974,SL,-1.0187678254710426,248.65249700172888,h4,2013
USDJPY,2014-04-01 16:00:00,2014-04-01 16:00:00,2014-04-04 16:00:00,1,103471.0,103464.0,103120.62459225727,104522.1262232282,103651.0,FRIDAY,0.5137346857749976,233.58360516182253,h4,2014
USDJPY,2014-07-30 12:00:00,2014-07-30 12:00:00,2014-07-30 16:00:00,1,102232.0,102225.0,102055.80795130164,102760.57614609507,102753.57614609507,TP,2.960270624856697,117.46136579890637,h4,2014
USDJPY,2014-08-19 16:00:00,2014-08-19 16:00:00,2014-08-20 20:00:00,1,102803.0,102795.0,102586.93925596263,103451.18223211213,103444.18223211213,TP,2.967601703719096,144.04049602491654,h4,2014
USDJPY,2014-09-01 12:00:00,2014-09-01 12:00:00,2014-09-02 12:00:00,1,104271.0,104266.0,104028.65079042154,104998.04762873538,104991.04762873538,TP,2.9711160601176316,161.56613971897445,h4,2014
USDJPY,2014-09-09 08:00:00,2014-09-09 08:00:00,2014-09-12 16:00:00,1,106247.0,106241.0,105838.9438102235,107471.1685693295,107334.0,FRIDAY,2.6638488209071594,272.0374598510006,h4,2014
USDJPY,2014-09-18 08:00:00,2014-09-18 08:00:00,2014-09-19 16:00:00,1,108826.0,108818.0,108362.48871650988,110216.53385047038,108853.0,FRIDAY,0.0582510091161031,309.0075223267509,h4,2014
USDJPY,2014-09-29 08:00:00,2014-09-29 08:00:00,2014-09-29 12:00:00,1,109670.0,109664.0,109218.04052655754,111025.87842032738,109211.04052655754,SL,-1.0154881143361898,301.3063156283066,h4,2014
USDJPY,2014-10-23 12:00:00,2014-10-23 12:00:00,2014-10-24 16:00:00,1,107540.0,107532.0,107046.88733405997,109019.33799782011,107933.0,FRIDAY,0.7969781089496281,328.7417772933577,h4,2014
USDJPY,2014-10-30 08:00:00,2014-10-30 08:00:00,2014-10-31 04:00:00,1,109136.0,109132.0,108699.47574339074,110445.5727698278,110438.5727698278,TP,2.983964235906668,291.0161710728466,h4,2014
USDJPY,2014-10-31 12:00:00,2014-10-31 12:00:00,2014-10-31 16:00:00,1,111752.0,111745.0,111050.15099216075,113857.54702351776,112272.0,FRIDAY,0.7409000998674881,467.89933855950204,h4,2014
USDJPY,2014-11-03 12:00:00,2014-11-03 12:00:00,2014-11-07 12:00:00,1,113286.0,113276.0,112531.87533040819,115548.37400877541,115541.37400877541,TP,2.9907177151441253,502.7497797278679,h4,2014
USDJPY,2014-11-11 12:00:00,2014-11-11 12:00:00,2014-11-11 20:00:00,1,115990.0,115979.0,115237.39723536605,118247.80829390183,115230.39723536605,SL,-1.009301055389305,501.73517642263033,h4,2014
USDJPY,2014-11-14 12:00:00,2014-11-14 12:00:00,2014-11-14 16:00:00,1,116353.0,116343.0,115699.32739520434,118314.017814387,116619.0,FRIDAY,0.4069315404202227,435.7817365304443,h4,2014
USDJPY,2014-11-19 08:00:00,2014-11-19 08:00:00,2014-11-21 16:00:00,1,117285.0,117278.0,116643.59390419943,119209.21828740173,117813.0,FRIDAY,0.8231914281091612,427.6040638670526,h4,2014
