pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,year
USDJPY,2013-11-12 08:00:00,2013-11-12 08:00:00,2013-11-13 20:00:00,1,99642.0,99634.0,99132.88422261237,100914.78944346908,99125.88422261237,SL,-1.0137493283667587,290.9233013643616,h4,2013
USDJPY,2013-11-14 12:00:00,2013-11-14 12:00:00,2013-11-15 16:00:00,1,100037.0,100028.0,99527.98954156524,101309.5261460869,100148.0,FRIDAY,0.21807017549567212,290.8631191055755,h4,2013
USDJPY,2013-11-21 08:00:00,2013-11-21 08:00:00,2013-11-22 16:00:00,1,100722.0,100712.0,100187.10427788268,102059.23930529329,101081.0,FRIDAY,0.671158854250965,305.6546983527517,h4,2013
USDJPY,2013-11-25 08:00:00,2013-11-25 08:00:00,2013-11-26 00:00:00,1,101880.0,101870.0,101347.66436321032,103210.83909197421,101340.66436321032,SL,-1.0131495987047017,304.19179245124656,h4,2013
USDJPY,2013-11-27 16:00:00,2013-11-27 16:00:00,2013-11-29 16:00:00,1,102137.0,102131.0,101623.20578311913,103421.48554220215,102295.0,FRIDAY,0.30751611211037955,293.5966953604929,h4,2013
USDJPY,2013-12-02 12:00:00,2013-12-02 12:00:00,2013-12-03 16:00:00,1,102786.0,102782.0,102350.85813024697,103873.85467438256,102343.85813024697,SL,-1.0160867075466196,248.65249700172888,h4,2013
USDJPY,2014-04-01 16:00:00,2014-04-01 16:00:00,2014-04-04 16:00:00,1,103471.0,103464.0,103062.2286909668,104492.92827258297,103651.0,FRIDAY,0.44034401637856935,233.58360516182253,h4,2014
USDJPY,2014-07-30 12:00:00,2014-07-30 12:00:00,2014-07-30 16:00:00,1,102232.0,102225.0,102026.44260985192,102745.89347537022,102738.89347537022,TP,2.4659462498772107,117.46136579890637,h4,2014
USDJPY,2014-08-19 16:00:00,2014-08-19 16:00:00,2014-08-20 20:00:00,1,102803.0,102795.0,102550.92913195639,103433.177170109,103426.177170109,TP,2.472230031759183,144.04049602491654,h4,2014
USDJPY,2014-09-01 12:00:00,2014-09-01 12:00:00,2014-09-02 12:00:00,1,104271.0,104266.0,103988.2592554918,104977.85186127051,104970.85186127051,TP,2.4752423372436803,161.56613971897445,h4,2014
